Filename,Asset Groups,Categories,Date Added,Date Updated,Width,Height,Colorspace,Resolution,File Format,Release Date,Expiration Date,Filesize,Global Collection,Metadata Type,Anatomy,Approval Id,Approval System,Apttus Product Code,Audience/Persona,Care Area / Specialties,Country of Use,Description,Display Name,File Type,Is Final,Language,MobilityCOE Content Type,PIM Asset Description,PIM Asset Name,PIM Country,PIM Environment,PIM Language,PIM Metadata,PIM Product Type,Parent Product Code,Product / Services,Product Group,Region,Uploader First Name,Uploader Last Name,Uploader Username,Embed ID,Download Link,640px Landscape,640px Portrait,Original,Wall N,Video with Player,Video with Player and Download,Video (No Player),Video Thumbnail,Streaming MP3,Document View and Download,Document View - HTML5,Document View - PDF,Thumbnail,Spinset with Viewer,Spinset with Viewer and Download,Spinset Thumbnail
1721909701904-Vscan Air SL image 3.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,1027,1027,Unknown,300,PNG,07/25/2024,,0.19 mb,,PIM Metadata Type,,,,,,,,,,,,,,Vscan Air SL Probe,Vscan Air SL,FR,prd,fr,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,e9sc7pb8hl,https://gehealthcare.widen.net/content/e9sc7pb8hl/original/1721909701904-Vscan-Air-SL-image-3.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/e9sc7pb8hl/jpeg/1721909701904-Vscan%20Air%20SL%20image%203.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/e9sc7pb8hl/jpeg/1721909701904-Vscan%20Air%20SL%20image%203.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/e9sc7pb8hl/jpeg/1721909701904-Vscan%20Air%20SL%20image%203.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/e9sc7pb8hl/jpeg/1721909701904-Vscan%20Air%20SL%20image%203.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721909655980-Vscan Air SL Image 2.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,1027,1027,Unknown,300,PNG,07/25/2024,,0.48 mb,,PIM Metadata Type,,,,,,,,,,,,,,Vscan Air SL Probe,Vscan Air SL,FR,prd,fr,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,erckdyqbrw,https://gehealthcare.widen.net/content/erckdyqbrw/original/1721909655980-Vscan-Air-SL-Image-2.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/erckdyqbrw/jpeg/1721909655980-Vscan%20Air%20SL%20Image%202.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/erckdyqbrw/jpeg/1721909655980-Vscan%20Air%20SL%20Image%202.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/erckdyqbrw/jpeg/1721909655980-Vscan%20Air%20SL%20Image%202.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/erckdyqbrw/jpeg/1721909655980-Vscan%20Air%20SL%20Image%202.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721909606572-Vscan Air SL - Image 1.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,1027,1027,Unknown,300,PNG,07/25/2024,,0.43 mb,,PIM Metadata Type,,,,,,,,,,,,,,Vscan Air CL Probe,Vscan Air CL,FR,prd,fr,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,zilqjb3ijm,https://gehealthcare.widen.net/content/zilqjb3ijm/original/1721909606572-Vscan-Air-SL---Image-1.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/zilqjb3ijm/jpeg/1721909606572-Vscan%20Air%20SL%20-%20Image%201.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/zilqjb3ijm/jpeg/1721909606572-Vscan%20Air%20SL%20-%20Image%201.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/zilqjb3ijm/jpeg/1721909606572-Vscan%20Air%20SL%20-%20Image%201.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/zilqjb3ijm/jpeg/1721909606572-Vscan%20Air%20SL%20-%20Image%201.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721909416810-Vscan Air CL and SL  Wireless Charger.jpg,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,4096,4096,Unknown,72,JPEG,07/25/2024,,0.31 mb,,PIM Metadata Type,,,,,,,,,,,,,,Adaptadores internacionales de CA Vscan Air™ ,Adaptadores internacionales de CA Vscan Air™ ,ES,prd,es_ES,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,nwt8rfecng,https://gehealthcare.widen.net/content/nwt8rfecng/original/1721909416810-Vscan-Air-CL-and-SL--Wireless-Charger.jpg?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/nwt8rfecng/jpeg/1721909416810-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/nwt8rfecng/jpeg/1721909416810-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/nwt8rfecng/jpeg/1721909416810-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/nwt8rfecng/jpeg/1721909416810-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721909206137-123 sonography  for both OBGYN & Focus class.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,636,692,Unknown,300,PNG,07/25/2024,,0.06 mb,,PIM Metadata Type,,,,,,,,,,,,,,pocus focus class,123 sonography for both OBGYN & Focus class,ES,prd,es_ES,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,0pdeewnjmf,https://gehealthcare.widen.net/content/0pdeewnjmf/original/1721909206137-123-sonography--for-both-OBGYN--Focus-class.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/0pdeewnjmf/jpeg/1721909206137-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/0pdeewnjmf/jpeg/1721909206137-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/0pdeewnjmf/jpeg/1721909206137-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/0pdeewnjmf/jpeg/1721909206137-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721909041673-Vscan Air SL International AC Adapters.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,800,800,Unknown,300,PNG,07/25/2024,,0.07 mb,,PIM Metadata Type,,,,,,,,,,,,,,Adattatori internazionali CA Vscan Air™ SL,Adattatori internazionali CA Vscan Air™ SL,ES,prd,es_ES,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,x4rcp6mtgl,https://gehealthcare.widen.net/content/x4rcp6mtgl/original/1721909041673-Vscan-Air-SL-International-AC-Adapters.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/x4rcp6mtgl/jpeg/1721909041673-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/x4rcp6mtgl/jpeg/1721909041673-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/x4rcp6mtgl/jpeg/1721909041673-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/x4rcp6mtgl/jpeg/1721909041673-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721908794235-Vscan Air CL and SL  Wireless Charger.jpg,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,4096,4096,Unknown,72,JPEG,07/25/2024,,0.31 mb,,PIM Metadata Type,,,,,,,,,,,,,,Caricatore wireless Vscan Air™ SL,Caricatore wireless Vscan Air™ SL,IT,prd,it_IT,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,fg8jlezwek,https://gehealthcare.widen.net/content/fg8jlezwek/original/1721908794235-Vscan-Air-CL-and-SL--Wireless-Charger.jpg?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/fg8jlezwek/jpeg/1721908794235-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/fg8jlezwek/jpeg/1721908794235-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/fg8jlezwek/jpeg/1721908794235-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/fg8jlezwek/jpeg/1721908794235-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721908728013-Vscan Air CL carrying case.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,1027,1027,Unknown,300,PNG,07/25/2024,,0.14 mb,,PIM Metadata Type,,,,,,,,,,,,,,Vscan Air CL hard plastic protective carrying case with magnetic closure,Vscan Air CL carrying case,ES,prd,es_ES,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,xrvh4mmvwx,https://gehealthcare.widen.net/content/xrvh4mmvwx/original/1721908728013-Vscan-Air-CL-carrying-case.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/xrvh4mmvwx/jpeg/1721908728013-Vscan%20Air%20CL%20carrying%20case.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/xrvh4mmvwx/jpeg/1721908728013-Vscan%20Air%20CL%20carrying%20case.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/xrvh4mmvwx/jpeg/1721908728013-Vscan%20Air%20CL%20carrying%20case.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/xrvh4mmvwx/jpeg/1721908728013-Vscan%20Air%20CL%20carrying%20case.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721908520129-Vscan Air SL International AC Adapters.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,800,800,Unknown,300,PNG,07/25/2024,,0.07 mb,,PIM Metadata Type,,,,,,,,,,,,,,Adattatori internazionali CA Vscan Air™ SL,Adattatori internazionali CA Vscan Air™ SL,IT,prd,it_IT,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,kqeidrxbjn,https://gehealthcare.widen.net/content/kqeidrxbjn/original/1721908520129-Vscan-Air-SL-International-AC-Adapters.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/kqeidrxbjn/jpeg/1721908520129-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/kqeidrxbjn/jpeg/1721908520129-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/kqeidrxbjn/jpeg/1721908520129-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/kqeidrxbjn/jpeg/1721908520129-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721908185912-Vscan Air CL and SL  Wireless Charger.jpg,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,4096,4096,Unknown,72,JPEG,07/25/2024,,0.31 mb,,PIM Metadata Type,,,,,,,,,,,,,,Vscan Air Kabelloses Ladegerät,Vscan Air™ Kabelloses Ladegerät,DE,prd,de,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,rvfj8okth4,https://gehealthcare.widen.net/content/rvfj8okth4/original/1721908185912-Vscan-Air-CL-and-SL--Wireless-Charger.jpg?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/rvfj8okth4/jpeg/1721908185912-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/rvfj8okth4/jpeg/1721908185912-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/rvfj8okth4/jpeg/1721908185912-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/rvfj8okth4/jpeg/1721908185912-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721907685447-Vscan Air SL International AC Adapters.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,800,800,Unknown,300,PNG,07/25/2024,,0.07 mb,,PIM Metadata Type,,,,,,,,,,,,,,Vscan Air SL AC-Netzteil (Intl.),Vscan Air SL AC-Netzteil (Intl.),DE,prd,de,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,ak13orduty,https://gehealthcare.widen.net/content/ak13orduty/original/1721907685447-Vscan-Air-SL-International-AC-Adapters.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/ak13orduty/jpeg/1721907685447-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ak13orduty/jpeg/1721907685447-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ak13orduty/jpeg/1721907685447-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ak13orduty/jpeg/1721907685447-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721907493840-123 sonography  for both OBGYN & Focus class.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,636,692,Unknown,300,PNG,07/25/2024,,0.06 mb,,PIM Metadata Type,,,,,,,,,,,,,,pocus focus class,123 sonography for both OBGYN & Focus class,DE,prd,de,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,r6gxbqfpr8,https://gehealthcare.widen.net/content/r6gxbqfpr8/original/1721907493840-123-sonography--for-both-OBGYN--Focus-class.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/r6gxbqfpr8/jpeg/1721907493840-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/r6gxbqfpr8/jpeg/1721907493840-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/r6gxbqfpr8/jpeg/1721907493840-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/r6gxbqfpr8/jpeg/1721907493840-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721906992366-Vscan Air CL carrying case.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,1027,1027,Unknown,300,PNG,07/25/2024,,0.14 mb,,PIM Metadata Type,,,,,,,,,,,,,,Vscan Air CL hard plastic protective carrying case with magnetic closure,Vscan Air CL carrying case,DE,prd,de,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,hmqqx0oomr,https://gehealthcare.widen.net/content/hmqqx0oomr/original/1721906992366-Vscan-Air-CL-carrying-case.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/hmqqx0oomr/jpeg/1721906992366-Vscan%20Air%20CL%20carrying%20case.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/hmqqx0oomr/jpeg/1721906992366-Vscan%20Air%20CL%20carrying%20case.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/hmqqx0oomr/jpeg/1721906992366-Vscan%20Air%20CL%20carrying%20case.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/hmqqx0oomr/jpeg/1721906992366-Vscan%20Air%20CL%20carrying%20case.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721906981346-Vscan Air CL and SL  Wireless Charger.jpg,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,4096,4096,Unknown,72,JPEG,07/25/2024,,0.31 mb,,PIM Metadata Type,,,,,,,,,,,,,,Chargeur sans fil Vscan Air,Chargeur sans fil Vscan Air™,FR,prd,fr,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,3hh7ovm8vq,https://gehealthcare.widen.net/content/3hh7ovm8vq/original/1721906981346-Vscan-Air-CL-and-SL--Wireless-Charger.jpg?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/3hh7ovm8vq/jpeg/1721906981346-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/3hh7ovm8vq/jpeg/1721906981346-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/3hh7ovm8vq/jpeg/1721906981346-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/3hh7ovm8vq/jpeg/1721906981346-Vscan%20Air%20CL%20and%20SL%20%20Wireless%20Charger.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721906627409-Vscan Air SL International AC Adapters.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,800,800,Unknown,300,PNG,07/25/2024,,0.07 mb,,PIM Metadata Type,,,,,,,,,,,,,,Adaptateur A/C Multiplug  ,Adaptateur A/C Multiplug,FR,prd,fr,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,ahwhrgse1h,https://gehealthcare.widen.net/content/ahwhrgse1h/original/1721906627409-Vscan-Air-SL-International-AC-Adapters.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/ahwhrgse1h/jpeg/1721906627409-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ahwhrgse1h/jpeg/1721906627409-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ahwhrgse1h/jpeg/1721906627409-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/ahwhrgse1h/jpeg/1721906627409-Vscan%20Air%20SL%20International%20AC%20Adapters.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721906512743-123 sonography  for both OBGYN & Focus class.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,636,692,Unknown,300,PNG,07/25/2024,,0.06 mb,,PIM Metadata Type,,,,,,,,,,,,,,pocus focus class,123 sonography for both OBGYN & Focus class,IT,prd,it_IT,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,xotnvpbqkg,https://gehealthcare.widen.net/content/xotnvpbqkg/original/1721906512743-123-sonography--for-both-OBGYN--Focus-class.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/xotnvpbqkg/jpeg/1721906512743-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/xotnvpbqkg/jpeg/1721906512743-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/xotnvpbqkg/jpeg/1721906512743-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/xotnvpbqkg/jpeg/1721906512743-123%20sonography%20%20for%20both%20OBGYN%20%26%20Focus%20class.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721906148580-Vscan Air Wireless Charging Pad - Image 9.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,2961,2961,Unknown,300,PNG,07/25/2024,,0.27 mb,,PIM Metadata Type,,,,,,,,,,,,,,Vscan Air Wireless Charging Pad,Vscan Air Wireless Charging Pad,GB,prd,en_GB,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,jwfdb4dyy9,https://gehealthcare.widen.net/content/jwfdb4dyy9/original/1721906148580-Vscan-Air-Wireless-Charging-Pad---Image-9.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/jwfdb4dyy9/jpeg/1721906148580-Vscan%20Air%20Wireless%20Charging%20Pad%20-%20Image%209.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/jwfdb4dyy9/jpeg/1721906148580-Vscan%20Air%20Wireless%20Charging%20Pad%20-%20Image%209.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/jwfdb4dyy9/jpeg/1721906148580-Vscan%20Air%20Wireless%20Charging%20Pad%20-%20Image%209.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/jwfdb4dyy9/jpeg/1721906148580-Vscan%20Air%20Wireless%20Charging%20Pad%20-%20Image%209.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721906132881-Vscan Air CL carrying case.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,1027,1027,Unknown,300,PNG,07/25/2024,,0.14 mb,,PIM Metadata Type,,,,,,,,,,,,,,Vscan Air CL hard plastic protective carrying case with magnetic closure,Vscan Air CL carrying case,IT,prd,it_IT,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,jxpjewis7j,https://gehealthcare.widen.net/content/jxpjewis7j/original/1721906132881-Vscan-Air-CL-carrying-case.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/jxpjewis7j/jpeg/1721906132881-Vscan%20Air%20CL%20carrying%20case.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/jxpjewis7j/jpeg/1721906132881-Vscan%20Air%20CL%20carrying%20case.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/jxpjewis7j/jpeg/1721906132881-Vscan%20Air%20CL%20carrying%20case.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/jxpjewis7j/jpeg/1721906132881-Vscan%20Air%20CL%20carrying%20case.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
1721906107820-Vscan Air Carrying Case - Image 8.png,1eCommerce Asset Group,1eCommerce/Shop,07/25/2024,07/25/2024,1027,1027,Unknown,300,PNG,07/25/2024,,0.14 mb,,PIM Metadata Type,,,,,,,,,,,,,,Vscan Air Carrying Case,Vscan Air Carrying Case,GB,prd,en_GB,,EQUIPMENT,,,,,Anoop,Jaswal,Anoop.Jaswal@gehealthcare.com,2qdtzvatwc,https://gehealthcare.widen.net/content/2qdtzvatwc/original/1721906107820-Vscan-Air-Carrying-Case---Image-8.png?u=nqxvbh&download=true,https://gehealthcare.widen.net/content/2qdtzvatwc/jpeg/1721906107820-Vscan%20Air%20Carrying%20Case%20-%20Image%208.jpeg?w=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/2qdtzvatwc/jpeg/1721906107820-Vscan%20Air%20Carrying%20Case%20-%20Image%208.jpeg?h=640&keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/2qdtzvatwc/jpeg/1721906107820-Vscan%20Air%20Carrying%20Case%20-%20Image%208.jpeg?keep=c&crop=yes&color=cccccc&quality=80&u=nqxvbh,https://gehealthcare.widen.net/content/2qdtzvatwc/jpeg/1721906107820-Vscan%20Air%20Carrying%20Case%20-%20Image%208.jpeg?w=2048&h=1366&position=c&color=ffffffff&quality=80&u=nqxvbh,,,,,,,,,,,,
